Response_ID,Section,Comment_Abbreviated,Theme_1,Theme_2,Theme_3,Substantive
0.13_R01,0.13 Helpful AI Interactions,"It telling me how to create statistical analysis formulas to compare data points, and how to map graphs",Brainstorming analyses and visualizations,Code generation for novel analyses,,Yes
0.13_R02,0.13 Helpful AI Interactions,Sometime when I didn't know how to attack a problem it would take me through the steps I needed to do before I wrote a code to answer the question like cleaning up or merging data,Step-by-step code explanations,,,Yes
0.13_R03,0.13 Helpful AI Interactions,Before we learned the definitions of regex patterns I used AI to give an explanation of the reasoning and meaning of the regex patterns it generated. Even before we formally learned the skill AI helped me think of advanced regex patterns,Syntax and function explanation,Code generation for novel analyses,,Yes
0.13_R04,0.13 Helpful AI Interactions,Writing code blocks utilizing functions/libraries I hadn't used before,Code generation for novel analyses,,,Yes
0.13_R05,0.13 Helpful AI Interactions,clarity on homework / studying,General/non-specific,,,Yes
0.13_R06,0.13 Helpful AI Interactions,Giving me different types of analysis I could do to see spatial autocorrelation for the MAG and metadata dataset,Brainstorming analyses and visualizations,,,Yes
0.13_R07,0.13 Helpful AI Interactions,Making sense of the outputs generated by the code. Or clarifying what table categories that have slightly different names from the instructions are most likely to be what the instructions are trying to direct you to,Output interpretation,,,Yes
0.13_R08,0.13 Helpful AI Interactions,It really helped a lot during the lab exercises and it also explains it too,General/non-specific,,,Yes
0.13_R09,0.13 Helpful AI Interactions,"When working with the NEON Mags dataset, the AI gave very good suggestions on how to go about formatting my data and what errors were preventing my code from running",Error diagnosis and debugging,,,Yes
0.13_R10,0.13 Helpful AI Interactions,NA,Excluded,,,Excluded
0.13_R11,0.13 Helpful AI Interactions,A lot of the time I asked AI to help explain certain coding functions or I would ask why I am getting the error message when rendering my lab. AI helped me improve my coding syntax so less errors come up,Syntax and function explanation,Error diagnosis and debugging,,Yes
0.13_R12,0.13 Helpful AI Interactions,"AI was very good at telling me what an error message meant, provided that I gave them the exact error message R was giving me. AI would explain what the error meant and provide multiple common ways to solve this problem",Error diagnosis and debugging,,,Yes
0.13_R13,0.13 Helpful AI Interactions,When an error occurs it will explain my error to me and give me code to correct it,Error diagnosis and debugging,,,Yes
0.13_R14,0.13 Helpful AI Interactions,"producing helpful explanations when codes do not run, providing simple code fixes",Error diagnosis and debugging,,,Yes
0.13_R15,0.13 Helpful AI Interactions,AI was able to come up with analyses and graphs for the data that I never would have thought of. It also provided the code for each analysis which was very helpful when trying to reproduce the graph in RStudio,Code generation for novel analyses,Brainstorming analyses and visualizations,,Yes
0.13_R16,0.13 Helpful AI Interactions,I frequently would give copilot what I said and the error code and it would then bold what it changes and why,Error diagnosis and debugging,,,Yes
0.13_R17,0.13 Helpful AI Interactions,Once I was supposed to run a code to make graphs in a certain way but I wasn't sure how. AI helped me brainstorm ways to make my code run the way I needed it to,Brainstorming analyses and visualizations,,,Yes
0.13_R18,0.13 Helpful AI Interactions,I asked it how to create a pie chart and it described it for me. Another thing was to make a graph that was interactive so when your mouse hovers over a point you see what it is,Code generation for novel analyses,,,Yes
0.13_R19,0.13 Helpful AI Interactions,One that integrated the suggested code in its response and followed that with an explanation of why the code worked. Another was when it corrected an issue and explained why my code wasn't working,Error diagnosis and debugging,Step-by-step code explanations,,Yes
0.13_R20,0.13 Helpful AI Interactions,"Giving an example of the code and then explaining what each part does, making it easy to know what to use/add to get the product I needed",Step-by-step code explanations,,,Yes
0.13_R21,0.13 Helpful AI Interactions,AI has been helpful in providing responses to fix my coding errors. I would tell CoPilot the code I was trying to run and the specific Error: I was getting. Copilot would send back the correct code and explain where I went wrong,Error diagnosis and debugging,,,Yes
0.13_R22,0.13 Helpful AI Interactions,I was having trouble finding code to help me build a PCA plot for the MAG data set. I uploaded my code and the MAG csv file and AI gave me better code with instructions on what to change. That allowed me to see what I was doing wrong,Code generation for novel analyses,Error diagnosis and debugging,Code optimization and improvement,Yes
0.13_R23,0.13 Helpful AI Interactions,"I usually used AI to correct errors within the code I created, so a helpful response would be: I see the problem is ____ which can be solved by ____",Error diagnosis and debugging,,,Yes
0.13_R24,0.13 Helpful AI Interactions,"it would give options on how to improve or fix the code and when taking a screenshot of my code and the errors, it was almost always helpful with helping me fix the issues",Error diagnosis and debugging,,,Yes
